rec_id,item_id,stud_id,result,irt
740,1.1.1,5323,1,54
995,1.1.1,5340,0,5972
2175,1.1.1,758,1,382
41,1.1.10,721,0,135
43,1.1.10,721,0,169
44,1.1.10,721,0,170
88,1.1.10,715,1,687
345,1.1.10,72,1,1414
477,1.1.10,871,1,2634
493,1.1.10,5162,1,103
566,1.1.10,5176,1,265
727,1.1.10,63,0,2640
738,1.1.10,5323,0,461
748,1.1.10,5323,1,438
1636,1.1.10,193,1,17
1906,1.1.10,57,1,358
2050,1.1.10,737,1,183
2113,1.1.10,230,0,80
2114,1.1.10,5114,1,88
2182,1.1.10,758,1,122
2223,1.1.10,5119,1,328
2358,1.1.10,66,1,79
741,1.1.2,5323,1,540
2080,1.1.2,5119,1,1609
2176,1.1.2,758,1,404
348,1.1.3,72,1,502
742,1.1.3,5323,1,2211
681,1.1.4,63,1,718
743,1.1.4,5323,0,2414
2162,1.1.4,5119,1,143
330,1.1.5,588,0,138
339,1.1.5,72,1,141
397,1.1.5,76,1,25
465,1.1.5,5162,1,114
561,1.1.5,5176,1,213
736,1.1.5,5323,0,51
750,1.1.5,5323,0,503
1630,1.1.5,193,1,4
1902,1.1.5,57,0,54
2045,1.1.5,737,1,5
2100,1.1.5,230,1,20
2104,1.1.5,5114,1,24
2213,1.1.5,5119,1,31
2353,1.1.5,66,1,14
31,1.1.6,721,0,269
331,1.1.6,588,1,828
340,1.1.6,72,1,164
398,1.1.6,76,1,38
466,1.1.6,5162,1,27
562,1.1.6,5176,1,29
699,1.1.6,63,1,100
745,1.1.6,5323,1,42
1022,1.1.6,5340,0,74
1632,1.1.6,193,1,3
2046,1.1.6,737,1,29
2101,1.1.6,230,1,30
2106,1.1.6,5114,1,56
2354,1.1.6,66,1,15
332,1.1.7,588,0,952
341,1.1.7,72,0,1556
469,1.1.7,871,1,2219
489,1.1.7,5162,1,193
563,1.1.7,5176,0,87
744,1.1.7,5323,0,1097
1633,1.1.7,193,0,13
2047,1.1.7,737,0,103
2105,1.1.7,230,0,119
2107,1.1.7,5114,0,116
2177,1.1.7,758,0,550
2207,1.1.7,5119,1,234
2355,1.1.7,66,0,36
35,1.1.8,721,1,257
36,1.1.8,721,0,23
333,1.1.8,588,1,278
347,1.1.8,72,0,178
490,1.1.8,5162,0,27
564,1.1.8,5176,0,130
737,1.1.8,5323,1,25
746,1.1.8,5323,1,6
1634,1.1.8,193,1,3
1874,1.1.8,5128,0,56
2048,1.1.8,737,1,31
2108,1.1.8,230,0,103
2110,1.1.8,5114,1,48
2188,1.1.8,758,1,434
2356,1.1.8,66,1,12
39,1.1.9,721,0,529
40,1.1.9,721,0,421
86,1.1.9,715,1,42
342,1.1.9,72,1,991
446,1.1.9,871,1,60
492,1.1.9,5162,1,59
565,1.1.9,5176,1,228
739,1.1.9,5323,0,753
747,1.1.9,5323,1,83
1635,1.1.9,193,1,10
1875,1.1.9,5128,1,74
1907,1.1.9,57,1,30
2049,1.1.9,737,1,52
2109,1.1.9,230,1,35
2111,1.1.9,5114,1,59
2152,1.1.9,758,1,43
2359,1.1.9,66,0,184
95,1.2.1,715,1,483
135,1.2.1,25,0,379
137,1.2.1,25,1,56
334,1.2.1,588,0,7
588,1.2.1,5176,0,3
589,1.2.1,5176,0,4
590,1.2.1,5176,0,4
591,1.2.1,5176,0,5
592,1.2.1,5176,0,6
603,1.2.1,5162,1,55
617,1.2.1,5176,1,109
827,1.2.1,5323,1,170
880,1.2.1,59,1,36
1129,1.2.1,871,0,63
1130,1.2.1,871,0,39
1134,1.2.1,871,1,96
1167,1.2.1,588,1,58
1476,1.2.1,5322,1,621
1511,1.2.1,721,0,6
1512,1.2.1,721,0,5
1637,1.2.1,193,1,5
1876,1.2.1,5128,0,54
1927,1.2.1,129,1,6
2009,1.2.1,5295,1,224
2010,1.2.1,5295,0,231
2055,1.2.1,961,1,56
2115,1.2.1,5114,1,111
2121,1.2.1,230,1,310
2258,1.2.1,5119,1,274
2360,1.2.1,66,1,17
2447,1.2.1,647,1,169
102,1.2.2,715,1,744
141,1.2.2,25,1,222
335,1.2.2,588,0,23
583,1.2.2,5176,0,3
584,1.2.2,5176,0,4
585,1.2.2,5176,0,5
586,1.2.2,5176,0,6
587,1.2.2,5176,0,6
594,1.2.2,5162,0,66
605,1.2.2,5162,1,101
615,1.2.2,5176,0,722
616,1.2.2,5176,1,876
837,1.2.2,5323,1,708
849,1.2.2,5003,1,210
888,1.2.2,59,0,10
890,1.2.2,59,0,159
897,1.2.2,59,0,7
903,1.2.2,59,1,11
1070,1.2.2,5111,1,709
1138,1.2.2,871,1,293
1161,1.2.2,588,1,84
1478,1.2.2,5322,1,270
1638,1.2.2,193,1,35
1950,1.2.2,57,0,6
1960,1.2.2,57,1,379
2011,1.2.2,5295,1,162
2117,1.2.2,5114,0,63
2118,1.2.2,5114,0,167
2119,1.2.2,5114,0,57
2125,1.2.2,5114,1,97
2126,1.2.2,230,1,409
2203,1.2.2,758,0,32
2208,1.2.2,758,0,148
2309,1.2.2,5119,0,359
2313,1.2.2,5119,1,13
2361,1.2.2,66,1,8
2451,1.2.2,647,1,33
104,1.2.3,715,1,178
164,1.2.3,25,1,1932
346,1.2.3,72,1,218
578,1.2.3,5176,0,3
579,1.2.3,5176,0,4
580,1.2.3,5176,0,5
581,1.2.3,5176,0,6
582,1.2.3,5176,0,7
595,1.2.3,5176,0,268
596,1.2.3,5176,0,310
597,1.2.3,5176,0,457
598,1.2.3,5176,0,471
599,1.2.3,5176,0,510
601,1.2.3,5162,1,620
852,1.2.3,5323,0,1562
853,1.2.3,5323,1,1621
907,1.2.3,59,1,9
1141,1.2.3,871,1,692
1158,1.2.3,588,1,35
1479,1.2.3,5322,1,8
1639,1.2.3,193,1,9
1928,1.2.3,129,1,6
2014,1.2.3,5295,0,674
2135,1.2.3,5114,1,832
2139,1.2.3,230,0,712
2142,1.2.3,230,0,95
2143,1.2.3,230,0,136
2144,1.2.3,230,0,138
2147,1.2.3,230,0,187
2157,1.2.3,758,1,57
2314,1.2.3,5119,1,209
2362,1.2.3,66,1,10
2453,1.2.3,647,1,100
114,1.2.4,715,0,1830
123,1.2.4,715,1,15
192,1.2.4,25,1,673
567,1.2.4,5176,0,232
568,1.2.4,5176,0,643
570,1.2.4,5176,0,729
571,1.2.4,5176,0,802
577,1.2.4,5176,0,3
593,1.2.4,5176,1,29
602,1.2.4,5162,0,226
606,1.2.4,5162,0,199
608,1.2.4,5162,0,512
610,1.2.4,5162,1,181
861,1.2.4,5323,1,1204
914,1.2.4,59,1,10
1146,1.2.4,871,1,848
1164,1.2.4,588,0,163
1481,1.2.4,5322,0,310
1485,1.2.4,5322,0,15
1486,1.2.4,5322,0,90
1487,1.2.4,5322,0,93
1488,1.2.4,5322,0,19
1640,1.2.4,193,1,8
1966,1.2.4,57,0,93
2037,1.2.4,5295,0,67
2038,1.2.4,5295,0,173
2136,1.2.4,5114,0,62
2137,1.2.4,5114,0,113
2138,1.2.4,5114,0,115
2140,1.2.4,5114,0,347
2141,1.2.4,5114,0,413
2153,1.2.4,230,0,425
2158,1.2.4,230,0,674
2159,1.2.4,230,0,692
2163,1.2.4,230,0,796
2166,1.2.4,230,0,839
2169,1.2.4,758,1,307
2291,1.2.4,5119,0,461
2296,1.2.4,5119,0,13
2318,1.2.4,5119,1,37
2363,1.2.4,66,1,10
2454,1.2.4,647,1,37
5,1.2.5,5471,0,963
6,1.2.5,5471,1,1217
119,1.2.5,715,0,1076
121,1.2.5,715,0,2031
122,1.2.5,715,0,2098
127,1.2.5,715,1,631
128,1.2.5,715,0,634
499,1.2.5,5162,0,79
572,1.2.5,5176,0,3
573,1.2.5,5176,0,4
574,1.2.5,5176,0,5
575,1.2.5,5176,0,7
576,1.2.5,5176,0,9
609,1.2.5,5176,1,402
613,1.2.5,5162,0,427
619,1.2.5,5162,0,214
623,1.2.5,5162,0,405
624,1.2.5,5162,0,482
767,1.2.5,5003,0,445
768,1.2.5,5003,0,576
850,1.2.5,5003,1,313
867,1.2.5,5323,0,511
872,1.2.5,5323,0,756
874,1.2.5,5323,0,933
928,1.2.5,59,1,28
1142,1.2.5,871,1,116
1490,1.2.5,5322,1,207
1513,1.2.5,5323,0,213
1514,1.2.5,5323,0,298
1641,1.2.5,193,1,7
1916,1.2.5,25,0,13
1918,1.2.5,25,0,263
1920,1.2.5,25,0,283
1929,1.2.5,129,1,5
2148,1.2.5,5114,0,225
2151,1.2.5,5114,1,364
2174,1.2.5,230,0,473
2180,1.2.5,230,0,956
2183,1.2.5,230,0,4
2186,1.2.5,230,0,381
2187,1.2.5,230,0,383
2198,1.2.5,758,0,336
2250,1.2.5,5119,0,295
2327,1.2.5,5119,0,26
2329,1.2.5,5119,0,134
2335,1.2.5,5119,0,20
2336,1.2.5,5119,0,58
2364,1.2.5,66,1,18
26,1.3.1,5471,1,6419
198,1.3.1,25,1,620
502,1.3.1,69,1,1950
630,1.3.1,5176,1,934
639,1.3.1,5176,0,1537
648,1.3.1,5176,1,1605
1515,1.3.1,5323,1,849
1649,1.3.1,193,1,125
1754,1.3.1,216,1,1570
2130,1.3.1,264,1,117
2165,1.3.1,5114,1,916
2197,1.3.1,230,0,875
10,1.3.10,660,0,21
22,1.3.10,5471,0,4878
139,1.3.10,715,0,692
503,1.3.10,69,0,2014
635,1.3.10,5176,0,1268
637,1.3.10,5176,0,1402
658,1.3.10,5176,0,4089
1178,1.3.10,871,1,5119
1524,1.3.10,5323,1,3963
1650,1.3.10,193,0,133
2161,1.3.10,5114,1,836
2193,1.3.10,230,1,606
34,1.3.2,5471,1,7466
634,1.3.2,5176,0,1261
638,1.3.2,5176,0,1530
653,1.3.2,5176,1,2498
771,1.3.2,5003,0,370
940,1.3.2,59,1,2033
1529,1.3.2,5323,0,29979
1644,1.3.2,193,1,40
2056,1.3.2,961,1,27
2172,1.3.2,5114,0,1197
2190,1.3.2,230,1,502
2338,1.3.2,5119,0,119
7,1.3.3,5471,1,2039
131,1.3.3,715,1,312
494,1.3.3,69,1,1192
626
1.3.3,5176,0,626
641,1.3.3,5176,0,1551
651,1.3.3,5176,1,2018
971,1.3.3,59,0,5253
1172,1.3.3,588,0,593
1530,1.3.3,5323,1,30494
1645,1.3.3,193,1,81
2209,1.3.3,230,0,1470
2236,1.3.3,5114,0,4530
50,1.3.4,5471,0,9771
206,1.3.4,25,0,1370
482,1.3.4,69,1,74
631,1.3.4,5176,0,1211
640,1.3.4,5176,0,1544
652,1.3.4,5176,1,2253
680,1.3.4,588,0,343
947,1.3.4,59,1,4351
1528,1.3.4,5323,1,29352
1642,1.3.4,193,1,23
1968,1.3.4,57,0,509
2210,1.3.4,230,0,1516
2249,1.3.4,5114,1,4945
51,1.3.5,5471,1,10156
633,1.3.5,5176,0,1251
643,1.3.5,5176,0,1566
657,1.3.5,5176,0,3968
682,1.3.5,588,0,299
1527,1.3.5,5323,1,29006
1646,1.3.5,193,1,94
2155,1.3.5,5114,1,662
2196,1.3.5,230,0,759
12,1.3.6,5471,1,2938
632,1.3.6,5176,0,1232
646,1.3.6,5176,0,1580
656,1.3.6,5176,0,3735
935,1.3.6,59,0,1061
936,1.3.6,59,0,1072
966,1.3.6,5024,0,1436
1525,1.3.6,5323,1,4381
1651,1.3.6,193,1,146
2181,1.3.6,5114,0,2038
2214,1.3.6,230,0,1757
32,1.3.7,5471,1,7206
485,1.3.7,69,1,388
636,1.3.7,5176,0,1275
642,1.3.7,5176,0,1559
654,1.3.7,5176,0,3039
942,1.3.7,59,1,2510
1497,1.3.7,588,0,324
1522,1.3.7,5323,0,3170
1648,1.3.7,193,1,118
2149,1.3.7,264,0,1053
2216,1.3.7,230,0,1835
2222,1.3.7,5114,0,4157
20,1.3.8,5471,1,4498
621,1.3.8,5176,1,330
647,1.3.8,5176,0,1588
655,1.3.8,5176,0,3347
992,1.3.8,59,0,7034
1523,1.3.8,5323,1,3457
1643,1.3.8,193,1,35
2173,1.3.8,5114,1,1337
2191,1.3.8,230,1,576
629,1.3.9,5176,0,840
645,1.3.9,5176,0,1573
659,1.3.9,5176,0,4257
769,1.3.9,5003,0,703
1526,1.3.9,5323,1,4626
1652,1.3.9,193,1,155
1753,1.3.9,216,0,1548
2150,1.3.9,264,0,1125
2200,1.3.9,230,1,1065
2245,1.3.9,5114,1,4751
1331,10.1.1,845,1,12
1332,10.1.4,845,0,38
1333,10.1.5,845,0,50
1335,10.1.6,845,1,84
1337,10.1.8,845,0,68
1338,10.2.2,845,0,6
1339,10.2.2,845,0,9
1340,10.2.2,845,0,26
1342,10.2.2,845,1,48
1344,13.1.1,845,0,38
1345,13.1.4,845,0,11
1346,13.1.5,845,0,2
1348,13.1.9,845,0,11
1350,13.2.2,845,1,7
11,3.1.1,660,0,211
349,3.1.1,72,1,738
535,3.1.1,69,0,85
752,3.1.1,5323,0,1186
770,3.1.1,5003,1,170
987,3.1.1,5340,0,3315
1494,3.1.1,5322,0,784
1653,3.1.1,193,1,165
1758,3.1.1,216,1,2204
1771,3.1.1,129,0,191
1989,3.1.1,183,0,441
2120,3.1.1,666,0,959
2168,3.1.1,264,0,1844
2211,3.1.1,758,0,83
2219,3.1.1,230,0,1934
2241,3.1.1,230,0,130
2251,3.1.1,5114,0,4962
2331,3.1.1,654,0,1152
156,3.1.10,336,1,10
254,3.1.10,5471,0,315
353,3.1.10,72,0,61
533,3.1.10,69,1,3
756,3.1.10,5323,1,45
786,3.1.10,5176,1,148
812,3.1.10,701,1,77
876,3.1.10,5003,1,355
1044,3.1.10,5340,1,176
1097,3.1.10,5142,0,143
1114,3.1.10,1059,0,71
1228,3.1.10,588,1,79
1239,3.1.10,60,1,50
1663,3.1.10,193,1,7
1780,3.1.10,216,1,277
1998,3.1.10,183,1,23
2146,3.1.10,940,1,40
2233,3.1.10,230,1,13
2264,3.1.10,230,0,57
2342,3.1.10,654,1,21
13,3.1.2,660,1,349
350,3.1.2,72,1,1300
536,3.1.2,69,0,191
753,3.1.2,5323,0,1808
775,3.1.2,5003,0,515
824,3.1.2,701,0,1398
994,3.1.2,5340,0,4436
1654,3.1.2,193,1,172
1760,3.1.2,216,0,2894
1990,3.1.2,183,1,644
2199,3.1.2,666,1,5520
2220,3.1.2,230,1,1949
2242,3.1.2,230,1,146
2332,3.1.2,654,0,1339
357,3.1.3,72,1,530
540,3.1.3,69,1,464
754,3.1.3,5323,1,2235
851,3.1.3,5003,1,568
1050,3.1.3,5340,1,1180
1176,3.1.3,588,1,853
1655,3.1.3,193,1,182
1763,3.1.3,216,1,3111
1991,3.1.3,183,1,748
2127,3.1.3,666,1,1396
2221,3.1.3,230,0,1982
2243,3.1.3,230,0,229
2333,3.1.3,654,1,1545
358,3.1.4,72,1,1182
526,3.1.4,69,1,1034
857,3.1.4,5003,1,1208
1222,3.1.4,588,0,5058
1656,3.1.4,193,1,196
1795,3.1.4,216,1,2276
1992,3.1.4,183,1,779
2226,3.1.4,230,0,2158
2247,3.1.4,230,0,366
2337,3.1.4,654,0,2431
158,3.1.5,336,0,54
356,3.1.5,72,1,399
539,3.1.5,69,1,353
829,3.1.5,701,0,1812
859,3.1.5,5003,0,1579
1657,3.1.5,193,1,206
1804,3.1.5,216,1,3253
1993,3.1.5,183,1,808
2167,3.1.5,666,0,3322
2227,3.1.5,230,0,2231
2254,3.1.5,230,0,745
2284,3.1.5,654,0,2153
2344,3.1.5,654,0,224
351,3.1.6,72,1,1423
537,3.1.6,69,1,259
810,3.1.6,701,1,162
862,3.1.6,5003,1,2112
1049,3.1.6,5340,0,1009
1223,3.1.6,588,1,5363
1658,3.1.6,193,1,224
1787,3.1.6,216,1,1019
1994,3.1.6,183,1,850
2164,3.1.6,666,1,3284
2228,3.1.6,230,1,2250
2255,3.1.6,230,1,759
2282,3.1.6,654,0,2138
2343,3.1.6,654,0,219
157,3.1.7,336,1,27
355,3.1.7,72,1,277
530,3.1.7,69,0,1221
804,3.1.7,701,1,125
863,3.1.7,5003,1,2198
1047,3.1.7,5340,1,895
1224,3.1.7,588,1,5500
1659,3.1.7,193,1,231
1785,3.1.7,216,1,642
1995,3.1.7,183,1,883
2231,3.1.7,230,0,2278
2256,3.1.7,230,1,853
2339,3.1.7,654,1,3180
354,3.1.8,72,0,135
532,3.1.8,69,1,1292
757,3.1.8,5323,1,400
790,3.1.8,5176,1,542
806,3.1.8,701,1,9
864,3.1.8,5003,1,2307
1046,3.1.8,5340,0,705
1226,3.1.8,588,1,5978
1660,3.1.8,193,1,235
1782,3.1.8,216,1,424
1996,3.1.8,183,1,946
2131,3.1.8,666,1,1696
2232,3.1.8,230,1,2306
2257,3.1.8,230,1,864
2340,3.1.8,654,1,3238
352,3.1.9,72,1,1695
534,3.1.9,69,0,40
788,3.1.9,5176,1,333
811,3.1.9,701,0,220
871,3.1.9,5003,1,2806
1227,3.1.9,588,1,6097
1241,3.1.9,60,1,509
1662,3.1.9,193,1,264
1799,3.1.9,216,0,2405
1997,3.1.9,183,0,979
2240,3.1.9,230,0,116
2263,3.1.9,230,1,1084
2341,3.1.9,654,0,3572
166,3.2.1,336,1,55
297,3.2.1,5471,1,914
475,3.2.1,5109,0,184
478,3.2.1,5109,0,593
480,3.2.1,5109,0,724
483,3.2.1,5109,0,847
484,3.2.1,5109,0,12
794,3.2.1,5176,0,500
795,3.2.1,5176,0,806
797,3.2.1,5176,0,929
799,3.2.1,5176,0,1120
800,3.2.1,5176,0,1183
882,3.2.1,5003,1,935
951,3.2.1,5340,0,1243
954,3.2.1,5340,0,1292
964,3.2.1,5340,0,1855
965,3.2.1,5340,0,1912
1092,3.2.1,865,1,287
1101,3.2.1,5142,1,457
1156,3.2.1,701,0,197
1157,3.2.1,701,1,346
1244,3.2.1,60,1,87
1504,3.2.1,74,1,23
1664,3.2.1,193,1,15
1863,3.2.1,216,0,303
1999,3.2.1,183,1,45
2179,3.2.1,264,0,774
2204,3.2.1,666,1,195
2268,3.2.1,230,0,489
2269,3.2.1,230,0,518
2270,3.2.1,230,0,539
2272,3.2.1,230,0,632
2274,3.2.1,230,0,672
2287,3.2.1,654,0,209
2305,3.2.1,654,0,29
2306,3.2.1,654,0,72
2307,3.2.1,654,0,179
2308,3.2.1,654,0,180
2488,3.2.1,5323,0,55
167,3.2.2,336,1,13
314,3.2.2,5471,0,1649
316,3.2.2,5471,1,1681
464,3.2.2,5109,1,70
801,3.2.2,5176,1,48
885,3.2.2,5003,1,197
1093,3.2.2,865,1,72
1102,3.2.2,5142,1,44
1159,3.2.2,701,1,117
1250,3.2.2,60,1,427
1665,3.2.2,193,1,2
1759,3.2.2,626,0,757
1865,3.2.2,216,0,17
1867,3.2.2,216,0,442
1868,3.2.2,216,0,454
1869,3.2.2,216,1,465
1870,3.2.2,216,0,465
2000,3.2.2,183,1,54
2094,3.2.2,672,1,150
2170,3.2.2,264,1,20
2205,3.2.2,666,1,16
2275,3.2.2,230,0,51
2276,3.2.2,230,0,62
2277,3.2.2,230,1,67
2288,3.2.2,654,0,6
2289,3.2.2,654,1,8
2487,3.2.2,5323,1,270
168,3.2.3,336,1,12
472,3.2.3,5109,1,435
803,3.2.3,5176,0,351
805,3.2.3,5176,1,675
886,3.2.3,5003,1,150
1052,3.2.3,859,0,424
1053,3.2.3,859,0,17
1054,3.2.3,859,0,18
1055,3.2.3,859,0,20
1056,3.2.3,859,0,21
1096,3.2.3,865,1,231
1103,3.2.3,5142,0,296
1162,3.2.3,701,1,140
1253,3.2.3,60,1,306
1498,3.2.3,588,1,162
1666,3.2.3,193,1,8
1762,3.2.3,626,0,770
1880,3.2.3,216,1,1737
2001,3.2.3,183,1,27
2082,3.2.3,672,1,186
2278,3.2.3,230,0,27
2290,3.2.3,654,1,116
2428,3.2.3,5471,1,523
2439,3.2.3,666,1,63
46,3.2.4,606,0,353
47,3.2.4,958,1,7
49,3.2.4,606,1,560
89,3.2.4,5062,0,57
90,3.2.4,5062,0,76
91,3.2.4,5062,0,103
92,3.2.4,5062,0,112
169,3.2.4,336,0,14
170,3.2.4,336,1,40
487,3.2.4,5109,1,652
839,3.2.4,5176,0,55
840,3.2.4,5176,0,58
841,3.2.4,5176,0,66
842,3.2.4,5176,0,83
843,3.2.4,5176,0,89
896,3.2.4,5003,1,580
1098,3.2.4,865,1,444
1147,3.2.4,5431,1,181
1160,3.2.4,250,0,820
1165,3.2.4,250,1,1057
1166,3.2.4,701,0,21
1168,3.2.4,701,1,151
1667,3.2.4,193,1,8
2293,3.2.4,654,0,120
2294,3.2.4,654,0,193
2297,3.2.4,654,1,517
2429,3.2.4,5471,0,1221
